id,gender,gen_att,income_per_member,binitem1,wage01,incomeTC,genderNUM
66451049,Female,1.8,1200,0,Yes,7.78322419,1
66382021,Male,1.8,1500,1,No,8.006367679,0
66451008,Female,1.6,1900,1,No,8.242756415,1
66451035,Female,3.2,1800,1,Yes,8.188689202,1
66451002,Female,2,2571.428571,1,No,8.545364106,1
66451039,Female,1,300,1,Yes,6.396932433,1
66451005,Female,2,1500,1,Yes,8.006367679,1
66451046,Female,2.6,1371.428571,1,No,7.916755542,1
66451004,Female,2,600,0,No,7.09007753,1
66451020,Female,2.2,2670,0,No,8.582980967,1
66451017,Female,1.4,160,1,No,5.768330761,1
66451013,Female,2.2,650,1,Yes,7.170120135,1
66451016,Female,2,1200,1,No,7.78322419,1
66451048,Female,1.4,3120,0,Yes,8.738735487,1
66451027,Female,2,200,1,Yes,5.991470797,1
66382007,Male,2.2,1714.285714,1,No,8.139899045,0
66382029,Male,2.4,840,1,No,7.426549427,0
66382014,Male,2.4,1200,0,Yes,7.78322419,0
66382037,Male,2.2,2800,0,Yes,8.630521909,0
66382028,Male,2.6,1666.666667,0,No,8.111728174,0
66382010,Male,2,1080,0,Yes,7.677863715,0
66382006,Male,1.8,2500,0,No,8.517193231,0
66382035,Male,2.8,150,0,No,5.703793586,0
66382030,Male,1.8,2760,1,No,8.616133172,0
66382017,Male,2,2566.666667,0,No,8.543510538,0
66382044,Male,2.2,3500,1,Yes,8.853665448,0
66382034,Male,1.6,875,1,Yes,7.467371393,0
66382026,Male,2,4285.714286,1,Yes,9.056189706,0
66382038,Male,3,2857.142857,0,No,8.650724615,0
66382015,Male,2.5,1285.714286,0,No,7.852217039,0
66382008,Male,1.8,5500,0,Yes,9.266909732,0
66382001,Male,1.2,2666.666667,0,No,8.581731748,0
66382002,Male,2,5100,1,No,9.230143009,0
66382047,Male,2,2183.333333,1,Yes,8.381755273,0
66382004,Male,2.5,1371.428571,0,Yes,7.916755542,0
66382019,Male,2.2,4000,0,Yes,8.987196836,0
66382022,Male,1.2,6000,1,Yes,9.266909732,0
66451029,Female,1.4,2000,0,Yes,8.294049703,1
66451019,Female,2.25,933.3333333,1,No,7.531909875,1
66451040,Female,1,6120,1,Yes,9.266909732,1
66382041,Male,2.2,661.5384615,0,Yes,7.187715877,0
66382033,Male,3.666666667,1200,0,No,7.78322419,0
66382018,Male,2.2,1800,0,No,8.188689202,0
66382012,Male,1.2,2500,1,Yes,8.517193231,0
66382048,Male,2.4,2500,1,Yes,8.517193231,0
66382023,Male,2.6,185.7142857,1,Yes,5.917363823,0
66451025,Female,2,1920,1,No,8.253227713,1
66451047,Female,2.4,2000,1,No,8.294049703,1
66451018,Female,2.6,2742.857143,1,No,8.609902623,1
66451043,Female,2.4,1371.428571,1,No,7.916755542,1
66451003,Female,2,3600,0,No,8.881836324,1
66451023,Female,2.6,1200,0,Yes,7.78322419,1
66451001,Female,1.8,3000,0,No,8.699514776,1
66451022,Female,2.2,840,0,No,7.426549427,1
66451011,Female,1.8,2228.571429,1,Yes,8.402263275,1
66451033,Female,1.8,2142.857143,1,No,8.363042566,1
66451014,Female,1,2571.428571,1,No,8.545364106,1
66451026,Female,1.8,80,1,Yes,5.075212875,1
66451045,Female,1.4,2422.857143,1,Yes,8.485849983,1
66451021,Female,2.4,1875,1,No,8.22951119,1
66382032,Male,2.75,1457.142857,0,No,7.977380148,0
66382036,Male,2.4,2000,0,Yes,8.294049703,0
66382031,Male,2.8,342.8571429,0,No,6.530463175,0
66382046,Male,2.4,5000,1,No,9.210340382,0
66382005,Male,2.2,5280,0,Yes,9.264828566,0
66382013,Male,2.2,1575,1,Yes,8.055157833,0
66382025,Male,2.4,4200,0,Yes,9.035986999,0
66451030,Female,NA,0,NA,NA,0,1
66451042,Female,NA,0,NA,NA,0,1
66382027,Male,NA,0,NA,NA,0,0
66382050,Male,NA,0,NA,NA,0,0
66382049,Male,NA,0,NA,NA,0,0
66382042,Male,NA,0,NA,NA,0,0
66451009,Female,1.4,266.6666667,1,No,6.279150135,1
66382020,Male,1.4,2200,0,No,8.389359872,0
66451006,Female,1.4,1650,0,Yes,8.101677839,1
66451034,Female,2.2,2000,0,No,8.294049703,1
66451037,Female,2,3600,0,Yes,8.881836324,1
66451007,Female,1.8,1636.363636,0,Yes,8.093379038,1
66382043,Male,2.4,5100,1,Yes,9.230143009,0
66382039,Male,2.6,1285.714286,0,No,7.852217039,0
66382016,Male,1.75,6000,0,Yes,9.266909732,0
66451031,Female,1.6,1800,1,No,8.188689202,1
66451050,Female,2.2,1500,1,Yes,8.006367679,1
66382040,Male,2.2,1111.111111,1,Yes,7.706263178,0
66382011,Male,2.4,1500,0,No,8.006367679,0
66382024,Male,1.8,1800,0,No,8.188689202,0
66382045,Female,1.8,571.4285714,1,No,7.041287437,1
66451024,Female,1.8,1500,0,Yes,8.006367679,1
66451036,Female,2.4,4000,0,Yes,8.987196836,1
66382003,Male,2.2,2400,1,Yes,8.47637124,0
66451012,Female,1,2600,1,Yes,8.556413942,1
66382009,Male,2.4,3000,1,No,8.699514776,0
66451044,Female,1,225,1,No,6.109252521,1
66451015,Female,2,1000,1,No,7.60090271,1
66451041,Female,1.2,1636.363636,1,Yes,8.093379038,1
66451028,Female,1.6,2000,1,No,8.294049703,1
66451038,Female,2.2,8333.333333,0,Yes,9.266909732,1
66451010,Female,1.8,3600,1,Yes,8.881836324,1
66451032,Female,1.6,4500,1,No,9.104979869,1
