id,gen_att,HEF
66542016,1.8,non-college
65882023,2.2,non-college
65882005,2.2,non-college
66542034,1.6,non-college
66542004,2,non-college
65883020,3.4,college
65883018,1.6,college
66303023,1.8,non-college
66542011,1.6,non-college
66542008,1.75,non-college
66542020,1.2,non-college
66542024,1.333333333,non-college
66542028,1.2,non-college
66542023,1.2,non-college
66542002,1,non-college
66542012,1.8,non-college
66542013,2.25,non-college
65883007,2.8,non-college
65883036,1,non-college
65883040,1.4,non-college
65883021,1.6,non-college
65882002,1.4,non-college
66303027,1.4,non-college
66303011,1.6,non-college
66303015,2.6,non-college
66303004,1.6,non-college
66303030,1.4,non-college
66303008,2.8,non-college
66542006,1.4,college
66542010,1.8,college
66542036,2.2,college
66542038,1.2,college
66542035,1.4,college
66542021,2,college
66542001,1.2,college
65883029,2.6,college
65883031,1,college
65883037,1.6,college
65883033,2.2,college
65883039,1.2,college
65883003,1,college
65883001,1,college
66303018,1.4,college
66303017,1.6,college
66303025,1.8,college
66303002,1.6,college
66303009,1.4,college
66303010,2.8,college
66542007,NA,NA
66542005,NA,NA
66542015,NA,NA
65883010,NA,NA
65883023,NA,NA
65882009,NA,NA
65882020,NA,NA
65882015,NA,NA
65882016,NA,NA
66303001,NA,NA
65883028,1,non-college
65882011,2.2,non-college
66542029,1,college
66542032,1,college
66542037,1.6,college
66542033,1,college
65883006,1.2,college
65883025,1,college
65883011,1.4,college
65883035,1.6,college
65883019,2,college
65883008,1.6,college
65883005,1,college
65883032,1,college
65883014,2,college
65883004,1,college
65883009,3.4,college
65883030,3,college
65882001,2.2,college
66542019,2.2,non-college
66542026,2.2,non-college
65883016,2.2,non-college
65883027,2.2,non-college
65883012,1.8,non-college
65882006,1.4,non-college
65882021,1.6,non-college
66303006,2,non-college
66303021,2.8,non-college
66303013,2.4,non-college
66303026,2.2,non-college
66542022,1,non-college
65883038,1.5,non-college
65883034,1,college
66303028,1.8,college
66542009,1.2,non-college
65882039,2,non-college
66303012,1.4,non-college
65882022,2,non-college
65882010,2,non-college
65882029,1.4,non-college
66303019,3,non-college
65883026,1.6,college
65882026,1.6,non-college
65882007,2.2,non-college
65882027,1.4,non-college
65882031,2.2,non-college
65882013,1.4,non-college
65882014,1,non-college
66542031,1.4,college
66542027,3.8,non-college
66303003,1.6,college
65883015,2.6,non-college
66303020,2.4,college
65882004,1.6,non-college
66542039,1.8,non-college
66542040,1.2,non-college
66542025,1.5,non-college
65883024,3.2,non-college
65883017,1.4,non-college
65882032,2,non-college
66303016,2.2,non-college
66542014,1.8,college
65883002,1,college
65882008,2.2,non-college
65882030,1,non-college
65882028,1.2,non-college
65882038,2,non-college
65882019,2.2,non-college
65882040,2.2,non-college
65882036,2.2,non-college
65882025,1.6,non-college
65882034,1.4,non-college
65882003,2,non-college
65882024,1.8,non-college
65882035,1,non-college
65882017,2.4,non-college
66542018,1.6,college
66303022,1.8,college
66303024,1.4,college
66542030,1.4,non-college
66542017,2,non-college
65883022,1.8,non-college
65882018,2.2,non-college
65882012,2,non-college
66303029,2.2,non-college
66303005,1.8,non-college
66303007,2,non-college
65882037,1.6,non-college
65882033,1.6,college
